Omics,Gene,FAEC
Methy,OLFML3,0.2
Methy,FLNB,0.2
Methy,ANKRD65,0.2
Methy,TNFSF9,0.2
Methy,TMEM44,0.2
Methy,TIFA,0.2
CNV,IDNK,0.2
Methy,METRNL,0.2
Methy,DCXR,0.2
Methy,ABLIM2,0.2
Methy,ZZZ745,0.2
CNV,TGFBR2,0.2
miRNA,hsa.mir.142.1,0.2
Methy,ZZZ3370,0.2
Methy,PIAS4,0.2
Methy,ESF1,0.2
mRNA,CALML6,0.2
CNV,ARHGAP15,0.2
CNV,SS18,0.2
CNV,ZZZ630,0.2
CNV,SLC3A1,0.2
Methy,HIGD1B,0.2
Methy,ZZZ3762,0.2
Methy,KCNB1,0.2
Methy,ZZZ84,0.2
CNV,ENSG00000280987,0.2
Methy,RECQL5,0.2
Methy,DCUN1D5,0.2
Methy,PDE6G,0.2
CNV,LRP6,0.2
miRNA,hsa.mir.200,0.2
mRNA,ALAD,0.2
miRNA,hsa.mir.151a.1,0.2
mRNA,ZZEF435,0.2
Methy,PILRB,0.2
mRNA,SV2C,0.2
mRNA,LRRC32,0.2
mRNA,ICOS,0.2
miRNA,hsa.mir.167b,0.2
Methy,PDCL2,0.2
Methy,SLC41A3,0.2
CNV,SYT11,0.2
CNV,CWC15,0.2
mRNA,MRPL24,0.2
CNV,ATP8A1,0.2
CNV,RPUSD4,0.2
CNV,CCDC169.SOHLH2,0.2
CNV,SLC31A2,0.2
CNV,C2orf15,0.2
CNV,ZC3H10,0.2
CNV,CLEC1A,0.2
CNV,SHBG,0.2
Methy,WDTC1,0.2
Methy,TAS2R13,0.2
Methy,ZZZ2843,0.2
CNV,SIM2,0.2
CNV,MT1HL1,0.2
Methy,CD72,0.2
Methy,ZZZ1260,0.2
CNV,SNRNP48,0.2
CNV,PET117,0.2
CNV,LRRN1,0.2
Methy,CYP39A1,0.2
Methy,ZZZ4299,0.2
CNV,SPATA31A6,0.2
Methy,ARHGEF15,0.2
Methy,MYOZ2,0.2
Methy,DCAF12L2,0.2
Methy,ZZZ665,0.2
Methy,PPWD1,0.2
Methy,HIST1H1B,0.2
Methy,ZNF567,0.2
Methy,ZZZ1626,0.2
Methy,VAC14,0.2
Methy,ZZZ1334,0.2
Methy,ZZZ3376,0.2
Methy,ZZZ5671,0.2
CNV,ANKRD10,0.2
mRNA,LOC107986453,0.2
mRNA,NDUFV1,0.2
mRNA,ZZEF175,0.2
mRNA,SNHG15,0.2
mRNA,ZNF589,0.2
mRNA,MGC20647,0.2
mRNA,SNORA5C,0.2
mRNA,PPP1R1C,0.2
mRNA,SQSTM1,0.2
mRNA,PVRIG,0.2
CNV,ALB,0.2
CNV,FAM160B1,0.2
CNV,HIST1H2AE,0.2
miRNA,hsa.mir.264,0.2
mRNA,KIAA0232,0.2
mRNA,TBC1D15,0.2
mRNA,HLA.J,0.2
mRNA,ERGIC3,0.2
mRNA,UTP18,0.2
mRNA,TMPO.AS1,0.2
mRNA,SRPRB,0.2
mRNA,HOXC6,0.2
miRNA,hsa.mir.300,0.2
miRNA,hsa.mir.108b,0.2
miRNA,hsa.mir.127,0.2
CNV,ATP8A2,0.2
miRNA,hsa.mir.378a,0.2
miRNA,hsa.mir.100.1,0.2
miRNA,hsa.mir.218,0.2
miRNA,hsa.mir.3917,0.2
miRNA,hsa.mir.196a.2,0.2
CNV,EOMES,0.2
CNV,TMLHE,0.2
CNV,ENSG00000258417,0.2
CNV,RP11.286H14.4,0.2
CNV,ZNF318,0.2
mRNA,PABPC3,0.2
mRNA,RCE1,0.2
miRNA,hsa.mir.326.1,0.2
mRNA,SRP54,0.2
Methy,FAM167B,0.2
Methy,MAZ,0.2
Methy,ZNHIT1,0.2
Methy,RNASE3,0.2
Methy,ARID3A,0.2
Methy,UBE2L3,0.2
Methy,ZZZ3402,0.2
Methy,RP11.514P8.6,0.2
Methy,GPR84,0.2
mRNA,FAR1,0.2
mRNA,ZZZ31,0.2
miRNA,hsa.mir.136,0.2
mRNA,CLTB,0.2
miRNA,hsa.mir.326,0.2
miRNA,hsa.mir.144b,0.2
miRNA,hsa.mir.143a,0.2
miRNA,hsa.mir.151b.3,0.2
CNV,KLRC1,0.2
CNV,RFC5,0.2
CNV,HIRIP3,0.2
CNV,1-Mar.1,0.2
CNV,OVCA2,0.2
Methy,ZZZ1161,0.2
Methy,UQCRC1,0.2
Methy,SBNO1,0.2
Methy,PCDH12,0.2
miRNA,hsa.mir.154b,0.2
miRNA,hsa.mir.582,0.2
miRNA,hsa.mir.141a,0.2
CNV,CEP44,0.2
CNV,NUGGC,0.2
CNV,MED24,0.2
CNV,ALAD,0.2
CNV,UQCRB,0.2
CNV,OFCC1,0.2
CNV,ZNF394,0.2
CNV,ANTXR1,0.2
CNV,XRRA1,0.2
CNV,ZNF440,0.2
CNV,CCDC38,0.2
CNV,TRABD2A,0.2
CNV,ZZZ98,0.2
CNV,IKBIP,0.2
CNV,C22orf23,0.2
CNV,PCDHGA10,0.2
CNV,TMEM133,0.2
Methy,ALG11,0.2
Methy,ZZZ3254,0.2
