Omics,Gene,FAEC
Methy,CTAG2,0.2
CNV,KRTAP19.4,0.2
Methy,SUMO1,0.2
Methy,ALPI,0.2
Methy,ZZZ914,0.2
Methy,GAS2,0.2
Methy,USP42,0.2
Methy,ZZZ3371,0.2
Methy,IPCEF1,0.2
Methy,SCGB3A1,0.2
Methy,FAM71F2,0.2
Methy,RAB11FIP4,0.2
Methy,ZZZ732,0.2
CNV,LRRC23,0.2
CNV,ZZZ144,0.2
CNV,DOPEY2,0.2
Methy,ACAT1,0.2
CNV,ATP2C1,0.2
Methy,MRPS6,0.2
CNV,DDX27,0.2
CNV,SIDT2,0.2
miRNA,hsa.mir.224.1,0.2
Methy,PLA2G4F,0.2
Methy,LHFP,0.2
miRNA,hsa.mir.286,0.2
mRNA,CFI,0.2
CNV,ANKRD13B,0.2
Methy,GGCT,0.2
mRNA,DHRS11,0.2
mRNA,GYS1,0.2
mRNA,AFF3,0.2
Methy,NDUFB11,0.2
Methy,CLCN1,0.2
mRNA,RNASEL,0.2
mRNA,PDE6D,0.2
mRNA,LHX4.AS1,0.2
CNV,TXNDC11,0.2
CNV,ALDH1B1,0.2
CNV,PLAC4,0.2
Methy,ZNF3,0.2
CNV,STK3,0.2
CNV,ZNF20,0.2
CNV,ELOVL6,0.2
CNV,LMX1B,0.2
CNV,OLFML2A,0.2
CNV,ENSG00000254673,0.2
CNV,EFNA1,0.2
CNV,MRPL41,0.2
CNV,PCDHA12,0.2
CNV,DDX28,0.2
CNV,OR6N2,0.2
CNV,AWAT1,0.2
CNV,NES,0.2
Methy,ADAT3,0.2
CNV,TM9SF4,0.2
CNV,PASD1,0.2
CNV,ARFGEF2,0.2
CNV,ZZZ887,0.2
CNV,ZZZ809,0.2
Methy,ZZZ81,0.2
Methy,LPIN1,0.2
CNV,DIS3L,0.2
Methy,AKT2,0.2
CNV,CEP85,0.2
Methy,TSPAN19,0.2
Methy,METTL14,0.2
Methy,UEVLD,0.2
Methy,ZZZ3045,0.2
Methy,RP11.444E17.6,0.2
Methy,ZBTB8OS,0.2
Methy,SEMA3C,0.2
Methy,HTR3D,0.2
Methy,IGSF1,0.2
CNV,LZTR1,0.2
Methy,NOL10,0.2
mRNA,ZZZ34,0.2
mRNA,LINC01451,0.2
mRNA,LOC101927870,0.2
mRNA,C2orf82,0.2
mRNA,NUTM2A.AS1,0.2
miRNA,hsa.mir.135a,0.2
miRNA,hsa.mir.629,0.2
miRNA,hsa.mir.592,0.2
CNV,TKT,0.2
CNV,TRIP10,0.2
CNV,PDCD11,0.2
CNV,ILK,0.2
mRNA,TBXAS1,0.2
mRNA,EPDR1,0.2
mRNA,ZZEF522,0.2
miRNA,hsa.mir.139a,0.2
miRNA,hsa.mir.125b,0.2
CNV,SPRY1,0.2
CNV,CAPN15,0.2
CNV,NMT1,0.2
CNV,STAG1,0.2
CNV,WIBG,0.2
CNV,PFKP,0.2
CNV,CTF1,0.2
CNV,ZZZ1532,0.2
CNV,OLFML2B,0.2
CNV,AKIRIN1,0.2
CNV,SLC7A1,0.2
CNV,CSNK1G1,0.2
CNV,MRPL14,0.2
CNV,CXorf23,0.2
CNV,S100A16,0.2
CNV,EXOC6B,0.2
CNV,TNFRSF19,0.2
CNV,TIMM50,0.2
miRNA,hsa.mir.136,0.2
mRNA,GATA6,0.2
mRNA,LOC100507600,0.2
mRNA,PHACTR3,0.2
mRNA,LY6G5B,0.2
mRNA,KRTCAP2,0.2
mRNA,RNASEH2C,0.2
mRNA,SLC16A8,0.2
miRNA,hsa.mir.153a,0.2
miRNA,hsa.mir.130a,0.2
miRNA,hsa.mir.624,0.2
Methy,RGS9BP,0.2
miRNA,hsa.mir.133b,0.2
CNV,NUBPL,0.2
CNV,C5orf34,0.2
CNV,ENSG00000268500,0.2
CNV,ZZZ681,0.2
CNV,POLE3,0.2
CNV,DEFB114,0.2
CNV,FOPNL,0.2
CNV,TIMM8B,0.2
Methy,PAPOLG,0.2
mRNA,PDCD5,0.2
CNV,ZZZ226,0.2
CNV,RFX1,0.2
CNV,ALDH7A1,0.2
CNV,SMYD5,0.2
CNV,HELB,0.2
CNV,GNL1,0.2
CNV,ADAM19,0.2
CNV,SSX1,0.2
CNV,TNFRSF10B,0.2
CNV,KLB,0.2
CNV,UBR4,0.2
CNV,TMEM120B,0.2
Methy,SLC1A6,0.2
CNV,SF3B2,0.2
CNV,SRL,0.2
CNV,BAX,0.2
CNV,KBTBD3,0.2
Methy,KLHDC8A,0.2
Methy,ZZZ5110,0.2
Methy,TAX1BP1,0.2
Methy,ZZZ4218,0.2
Methy,ZZZ3966,0.2
Methy,HYAL3,0.2
