Omics,Gene,FAEC
CNV,NPIPA8,0.2
mRNA,DOCK5,0.2
mRNA,SCRN3,0.2
mRNA,SDR42E1,0.2
CNV,SNX18,0.2
mRNA,MIR196A1,0.2
CNV,FAM231C,0.2
CNV,ZNF658,0.2
CNV,FRMD7,0.2
CNV,MOCS2,0.2
Methy,CGREF1,0.2
Methy,TOMM22,0.2
Methy,KRT75,0.2
Methy,PET117,0.2
Methy,CASP2,0.2
Methy,GPBP1,0.2
Methy,ZXDB,0.2
Methy,C6orf1,0.2
Methy,C20orf195,0.2
Methy,RP11.571M6.15,0.2
Methy,SF3B5,0.2
Methy,PABPC4,0.2
Methy,C11orf70,0.2
Methy,THAP11,0.2
Methy,CTGF,0.2
Methy,FGF20,0.2
CNV,ENSG00000256537,0.2
CNV,SMC5,0.2
mRNA,KIR2DL4,0.2
CNV,TBC1D3B,0.2
miRNA,hsa.mir.7706,0.2
miRNA,hsa.let.7a.3,0.2
miRNA,hsa.let.7i,0.2
miRNA,hsa.mir.1307,0.2
miRNA,hsa.let.7f.1,0.2
miRNA,hsa.mir.652,0.2
miRNA,hsa.let.7f.2,0.2
miRNA,hsa.mir.6842,0.2
miRNA,hsa.mir.3614,0.2
miRNA,hsa.mir.4772,0.2
miRNA,hsa.mir.330,0.2
CNV,OR13C2,0.2
CNV,PSG11,0.2
CNV,UGT2B4,0.2
CNV,DDX4,0.2
CNV,ITGA2,0.2
miRNA,hsa.mir.376c,0.2
CNV,WWOX,0.2
CNV,MAP3K1,0.2
miRNA,hsa.mir.493,0.2
mRNA,CCDC116,0.2
miRNA,hsa.mir.25,0.2
Methy,SRC,0.2
Methy,FAM124A,0.2
mRNA,VPS33A,0.2
mRNA,ENOX2,0.2
mRNA,CTD.2201I18.1,0.2
mRNA,CLN5,0.2
mRNA,CD55,0.2
mRNA,NTF3,0.2
mRNA,FOXP1,0.2
mRNA,RBM7,0.2
miRNA,hsa.mir.320b.1,0.2
miRNA,hsa.mir.219a.1,0.2
miRNA,hsa.mir.340,0.2
miRNA,hsa.mir.337,0.2
CNV,ZFAT,0.2
CNV,ADIPOR2,0.2
CNV,MSI2,0.2
CNV,AKAP14,0.2
Methy,FAM153B,0.2
Methy,RGCC,0.2
miRNA,hsa.mir.450b,0.2
CNV,KIAA1429,0.2
mRNA,LINC01184,0.2
mRNA,HLA.F.AS1,0.2
mRNA,LRIF1,0.2
mRNA,CYP4F8,0.2
mRNA,LTN1,0.2
miRNA,hsa.mir.3200,0.2
miRNA,hsa.mir.145,0.2
miRNA,hsa.mir.375,0.2
miRNA,hsa.mir.940,0.2
CNV,CAPRIN2,0.2
CNV,PLAG1,0.2
CNV,OVCH1,0.2
CNV,SPIDR,0.2
CNV,RPUSD1,0.2
CNV,CA8,0.2
CNV,DDX11,0.2
CNV,GRAPL,0.2
CNV,OC90,0.2
CNV,LRRC6,0.2
Methy,ZNF71,0.2
Methy,TTC36,0.2
CNV,ABHD8,0.2
CNV,RGPD2,0.2
CNV,USE1,0.2
CNV,RP11.812E19.9,0.2
CNV,USP17L2,0.2
Methy,FAM208A,0.2
Methy,NEK10,0.2
Methy,GJA3,0.2
Methy,ANKEF1,0.2
Methy,NES,0.2
Methy,ACPP,0.2
Methy,ARF5,0.2
mRNA,LINC01426,0.2
mRNA,CASP3,0.2
mRNA,CAPN14,0.2
mRNA,ZNF264,0.2
mRNA,HERC6,0.2
CNV,UNC13A,0.2
CNV,NXNL1,0.2
CNV,ANO8,0.2
mRNA,FAM72B,0.2
Methy,MCPH1,0.2
Methy,TCF12,0.2
mRNA,DPF1,0.2
mRNA,ADGRG1,0.2
mRNA,SRGAP2C,0.2
mRNA,KLHL2,0.2
mRNA,SYT12,0.2
mRNA,CLCN2,0.2
miRNA,hsa.mir.181a.2,0.2
mRNA,RPL13P5,0.2
miRNA,hsa.mir.659,0.2
miRNA,hsa.mir.9.2,0.2
miRNA,hsa.let.7e,0.2
miRNA,hsa.mir.550a.1,0.2
miRNA,hsa.mir.1271,0.2
miRNA,hsa.mir.639,0.2
Methy,PRKX,0.2
