Omics,Gene,FAEC
Methy,OR1E1,0.2
Methy,NRIP1,0.2
Methy,ZZZ3143,0.2
CNV,PPP1R12C,0.2
Methy,FAM3D,0.2
CNV,ARRDC1,0.2
Methy,ADARB1,0.2
CNV,BTN3A2,0.2
CNV,IL1A,0.2
CNV,PRKACG,0.2
Methy,ASB17,0.2
Methy,EIF4A2,0.2
Methy,C11orf96,0.2
Methy,DNAJC21,0.2
Methy,ZZZ829,0.2
Methy,PON3,0.2
Methy,RDH16,0.2
Methy,ZZZ5482,0.2
Methy,GNMT,0.2
miRNA,hsa.mir.450b,0.2
Methy,VWA3A,0.2
Methy,ZZZ3800,0.2
Methy,PPP1R17,0.2
Methy,PRAC1,0.2
mRNA,MIR4724,0.2
mRNA,ARMC4,0.2
mRNA,POMGNT1,0.2
mRNA,HOXA3,0.2
mRNA,ZZEF63,0.2
mRNA,HEYL,0.2
mRNA,CDC42SE2,0.2
CNV,PRKAR2B,0.2
CNV,TWF1,0.2
CNV,ZNF567,0.2
CNV,PRICKLE2,0.2
mRNA,LYG2,0.2
mRNA,TOMM40,0.2
mRNA,BHLHE22,0.2
mRNA,RPL7A,0.2
mRNA,UGGT1,0.2
miRNA,hsa.mir.110,0.2
miRNA,hsa.mir.212,0.2
miRNA,hsa.mir.433,0.2
miRNA,hsa.mir.204,0.2
miRNA,hsa.mir.153.1,0.2
CNV,ZNF256,0.2
CNV,OR51I2,0.2
CNV,DCLK3,0.2
CNV,PRKACB,0.2
CNV,HPN,0.2
CNV,PRKAG3,0.2
CNV,GMFG,0.2
CNV,PRH1,0.2
CNV,KDELC2,0.2
CNV,PRKCD,0.2
CNV,IL1B,0.2
CNV,OR4N2,0.2
CNV,PRKD1,0.2
mRNA,LLPH.AS1,0.2
miRNA,hsa.mir.162,0.2
CNV,PUM2,0.2
miRNA,hsa.mir.338.2,0.2
mRNA,PLK3,0.2
mRNA,ZZEF412,0.2
mRNA,GJA5,0.2
mRNA,LOC101928737,0.2
mRNA,TRPV1,0.2
mRNA,CSF3R,0.2
mRNA,ZNF804A,0.2
mRNA,FZD3,0.2
mRNA,AAR2,0.2
miRNA,hsa.mir.103b,0.2
miRNA,hsa.mir.120a,0.2
miRNA,hsa.mir.659,0.2
miRNA,hsa.mir.486.1,0.2
miRNA,hsa.mir.117a,0.2
miRNA,hsa.mir.9.2,0.2
miRNA,hsa.mir.374,0.2
miRNA,hsa.mir.141a,0.2
miRNA,hsa.mir.181c,0.2
CNV,ZIC3,0.2
CNV,FKBP5,0.2
CNV,BTBD2,0.2
CNV,OR10G4,0.2
CNV,ARHGAP30,0.2
CNV,GATB,0.2
mRNA,JPH4,0.2
Methy,ZZZ5741,0.2
Methy,BIN2,0.2
Methy,CRYGD,0.2
miRNA,hsa.mir.3677,0.2
miRNA,hsa.mir.110a,0.2
miRNA,hsa.mir.128a,0.2
miRNA,hsa.mir.195,0.2
CNV,C17orf74,0.2
CNV,LRFN1,0.2
CNV,DNMT3A,0.2
CNV,NEDD1,0.2
Methy,MTX1,0.2
Methy,MIA3,0.2
Methy,TMIGD2,0.2
Methy,ZZZ249,0.2
Methy,C11orf42,0.2
Methy,TATDN3,0.2
Methy,DENND1B,0.2
Methy,ZZZ1198,0.2
Methy,ZZZ5315,0.2
Methy,H2BFM,0.2
Methy,EIF2B1,0.2
Methy,SMARCC2,0.2
Methy,ELF3,0.2
Methy,HEPN1,0.2
Methy,GFOD2,0.2
Methy,CARD10,0.2
